scenario_id,priority,surface_ids,lane,category,title,preconditions,steps,expected_oracle,negative_or_boundary,automation_target,evidence_required,safety_class,blocking_rule
QA-043-001,P0,SURF-RELEASE-002,all,registry,Opaque surface registry schema,epic surface catalog,validate required fields,unique IDs; risk/evidence/family/task fields complete,no,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-043-002,P0,SURF-RELEASE-002,all,privacy,No private source identifier leakage,registry generated,scan for paths/classes/packages/endpoints,only category-level opaque IDs remain,yes,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-043-003,P0,SURF-RELEASE-002,all,traceability,P0/P1 surface-to-scenario mapping,all catalogs present,build traceability,every mandatory surface has executable scenario or explicit boundary,no,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-043-004,P0,SURF-RELEASE-002,all,migration,Import TASK-019…040 evidence references,historical reports exist,index public-safe report aliases,history reused; no deletion or status inflation,no,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-043-005,P0,SURF-RELEASE-001,all,freshness,Prior build evidence marked stale,new build-set alias differs/unknown,evaluate selector,old evidence not authoritative for new release,yes,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-043-006,P0,SURF-RELEASE-001,all,freshness,Compatible unchanged lane evidence reuse,same approved build-set/device/scenario contract,evaluate selector,reuse only under explicit compatibility rule and freshness window,no,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-043-007,P0,SURF-RELEASE-001,all,negative,mapped_only never pass,surface has mapping but no execution,evaluate coverage,gap remains open,yes,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-043-008,P0,SURF-RELEASE-001,all,negative,blocked never pass,scenario blocked,evaluate coverage,blocked category surfaced; mandatory gate blocked,yes,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-043-009,P0,SURF-RELEASE-001,all,negative,Retry recovery does not erase failure,"first attempt fails, retry passes",aggregate,failure and recovery both retained; no clean pass,yes,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-043-010,P0,SURF-RELEASE-001,all,negative,Synthetic evidence not physical evidence,same scenario only on AVD/fake,select physical gate,physical requirement remains unmet,yes,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-043-011,P0,SURF-RELEASE-001,all,negative,Emulator not OEM compatibility,AVD result exists,select OEM gate,OEM/device gate remains unmet,yes,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-043-012,P0,SURF-RELEASE-002,all,selector,Family-specific selection,changed television-sber surface,run selector,Sber lane selected; unrelated full/steam not overselected,no,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-043-013,P0,SURF-RELEASE-002,all,selector,Shared surface selection,shared auth/navigation risk changes,run selector,all applicable APK families and paired path selected,no,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-043-014,P1,SURF-RELEASE-002,all,selector,Device equivalence selection,representative passed but delta risk exists,run selector,targeted equivalence cases selected,no,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-043-015,P0,SURF-RELEASE-002,all,schema,Unknown status fails closed,synthetic record with unrecognized status,validate,non-zero with deterministic message,yes,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-043-016,P0,SURF-LOG-001,all,privacy,Raw evidence references are local-only,registry links evidence,validate paths/aliases,public output contains only approved repo-relative aliases,no,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-043-017,P1,SURF-RELEASE-002,all,report,Gap summary by family/device/risk,registry and evidence indexed,generate summary,counts reconcile with traceability and statuses,no,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-043-018,P0,SURF-RELEASE-002,all,handoff,TASK-044 scenario selection,TPV readiness and gaps known,generate selected scenario list,all TPV P0 rows plus relevant source-informed watchpoints selected,no,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
