scenario_id,priority,surface_ids,lane,category,title,preconditions,steps,expected_oracle,negative_or_boundary,automation_target,evidence_required,safety_class,blocking_rule
QA-045-001,P0,SURF-PAIR-001,tv-tpv-013 + phone-xiaomi-007,preflight,Paired lane identity and same synthetic fixture,both devices READY,"validate aliases, APK families and fixture presence",paired run starts without publishing identities,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-045-002,P0,SURF-PAIR-001,pair,connect,TV connect-device screen,TV session ready,navigate to approved connect-device screen,screen/category and waiting state captured,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-045-003,P0,SURF-PAIR-001,pair,connect,Phone cold launch discovers TV,TV waiting; phone app force-stopped,launch phone app,correct TV alias/category becomes available or explicit no-device state,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-045-004,P0,SURF-PAIR-001,pair,connect,Phone warm launch auto-connect behavior,TV waiting; phone has prior paired state,foreground phone,automatic/manual connection state classified,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-045-005,P0,SURF-AUTH-003;SURF-PAIR-001,pair,negative,Wrong-account or no-matching-session behavior,approved alternate synthetic/no-session state available,attempt discovery/connect,no unauthorized pairing; clear recoverable state,yes,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-045-006,P0,SURF-PAIR-001,pair,negative,No TV available,TV not on connect screen or safely offline,launch phone flow,no phantom success; empty/error/retry state captured,yes,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-045-007,P0,SURF-PAIR-002,pair,connect,Successful pair handshake visible on both devices,same fixture and TV waiting,connect once,both sides show consistent connected state,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-045-008,P0,SURF-PAIR-002,pair,negative,Duplicate connect request,already connected,repeat connect action safely,idempotent state or explicit error; no duplicate visible session,yes,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-045-009,P0,SURF-INPUT-003,phone,gamepad_ui,Virtual gamepad screen before connection,phone not connected,open gamepad route if available,disabled/waiting behavior; no input claimed delivered,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-045-010,P0,SURF-INPUT-003,phone,gamepad_ui,Virtual gamepad after connection,pair established,open gamepad,controls/layout/enabled state captured,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-045-011,P0,SURF-INPUT-004,pair,input,Safe virtual input boundary,pair established; approved non-gameplay target,send bounded non-destructive control input,TV visible response or explicit boundary; no paid gameplay assertion,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-045-012,P0,SURF-PERSIST-001;SURF-PAIR-002,phone,lifecycle,Phone background/foreground,connected,background then foreground,pair state preserved or reconnect state explicit,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-045-013,P0,SURF-PERSIST-002;SURF-PAIR-002;SURF-STREAM-002,phone,lifecycle,Phone force-stop/relaunch,connected,force-stop phone; relaunch,stale/clean reconnect behavior captured,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
