scenario_id,priority,surface_ids,lane,category,title,preconditions,steps,expected_oracle,negative_or_boundary,automation_target,evidence_required,safety_class,blocking_rule
QA-041-001,P0,SURF-RELEASE-001,repo,export,Git checkout full-suite baseline,clean task branch,run targeted and full QA tests,all relevant tests pass; counts recorded,no,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-041-002,P0,SURF-RELEASE-001,repo,export,Official ZIP without .git,generate official export; unpack separately,run same relevant checks in unpack,ZIP-mode passes without synthetic git init,no,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-041-003,P0,SURF-RELEASE-001,repo,negative,Missing export index fails closed,official unpack with index removed,run report generators/checkers,non-zero; no empty-file-list success,yes,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-041-004,P0,SURF-RELEASE-001,repo,negative,Stale hash in export index,alter one tracked exported file after index creation,run checker,hash drift rejected before report success,yes,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-041-005,P0,SURF-RELEASE-001,repo,negative,Malformed export index,truncate or corrupt synthetic index fixture,validate,deterministic non-zero and public-safe error,yes,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-041-006,P0,SURF-RELEASE-001,repo,negative,Unindexed extra file,add synthetic extra tracked-like file to unpack fixture,validate export,"extra file is rejected or explicitly governed, never silently ignored",yes,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-041-007,P0,SURF-RELEASE-001,repo,negative,Duplicate normalized path,synthesize duplicate/normalization collision fixture,validate,collision rejected before reads,yes,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-041-008,P0,SURF-RELEASE-001,repo,negative,Path traversal entry,synthetic index contains ../ or absolute path,validate,rejected before filesystem access,yes,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-041-009,P0,SURF-RELEASE-001,repo,negative,Unsafe symlink entry,synthetic export fixture contains escaping symlink,validate,rejected deterministically,yes,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-041-010,P0,SURF-LOG-001;SURF-RELEASE-001,repo,safety,Public-safe full tree,integrated epic overlay,run hygiene/public-safety/docs checks,"no source, binaries, raw identities, secrets or broken links",no,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-041-011,P0,SURF-RELEASE-002,repo,epic,All TASK-041…055 specs present,overlay staged,validate task index and filenames,15 unique task specs linked from epic/backlog,no,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-041-012,P0,SURF-RELEASE-002,repo,epic,All task scenario catalogs present,overlay staged,validate CSV schemas and IDs,15 non-empty catalogs; unique IDs; P0 rows exist,no,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-041-013,P0,SURF-RELEASE-002,repo,epic,Dependencies are acyclic,dependency map staged,topological validation,valid order and explicit optional blocked lane semantics,no,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-041-014,P1,SURF-RELEASE-002,repo,migration,Preserve TASK-000…040 history,existing reports/tasks available,integrate epic,no historical report/task deletion or pass promotion,no,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-041-015,P0,SURF-RELEASE-002,repo,scope,No build/unit/developer gates active,epic docs staged,scan active instructions,prohibited scopes occur only in explicit out-of-scope/superseded statements,no,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-041-016,P0,SURF-INSTALL-001,repo,contract,Five-APK contract unchanged,existing approval contract,diff and validator,exact existing contract preserved; launcher separate,no,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-041-017,P0,SURF-RELEASE-001,repo,contract,Existing .qa_local paths unchanged,local paths policy exists,diff and docs check,no relocation/rename/new absolute path,no,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
QA-041-018,P1,SURF-RELEASE-002,repo,handoff,Single fresh continuation,task verified and integrated,update active-run; create next thread,exactly one TASK-042 continuation after default branch push,no,automate,runner_log+ledger+hash_bound_static_artifact,PROD_SAFE,classify; continue independent scenarios
