scenario_id,priority,surface_ids,lane,category,title,preconditions,steps,expected_oracle,negative_or_boundary,automation_target,evidence_required,safety_class,blocking_rule
QA-049-001,P0,SURF-NAV-001;SURF-RELEASE-002,all ready families,graph,Import historical and new transition ledgers,TASK-019…048 reports indexed,normalize nodes/edges/statuses,single versioned graph with provenance,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-049-002,P0,SURF-NAV-001,all ready families,graph,Root/start nodes by APK family,representative evidence exists,enumerate auth/post-auth/launcher roots,no cross-family root substitution,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-049-003,P0,SURF-NAV-001;SURF-NAV-002,all ready families,graph,Back edge for every reached screen family,screen ledger available,execute or import fresh Back observations,edge or explicit boundary/tooling classification,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-049-004,P0,SURF-NAV-002,all ready families,graph,Home/foreground edges,stable states selected,execute Home/return,state/focus/session edge captured,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-049-005,P0,SURF-PERSIST-002,all ready families,graph,Force-stop/relaunch edges,stable states,execute bounded lifecycle,new root/restored node classified,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-049-006,P0,SURF-CATALOG-002,TV families,lists,Scrollable rails initial/mid/boundary samples,catalog actionable,sample focus/scroll/lazy-load,no fixed titles/counts; boundaries explicit,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-049-007,P1,SURF-CATALOG-002,TV families,lists,Expandable/collapsible navigation states,such menu reachable,capture both states,distinct graph nodes with trigger,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-049-008,P0,SURF-SEARCH-001;SURF-SEARCH-002,TV/phone applicable,state,Search empty/query/results/error/keyboard states,search reachable,execute safe variants,each state and recovery edge explicit,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-049-009,P0,SURF-SETTINGS-001;SURF-SETTINGS-002,TV families,state,"Settings root, Gamepad, dialogs",settings reachable,traverse safe branches,logout/mutation boundaries terminally classified,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-049-010,P0,SURF-DETAIL-001;SURF-DETAIL-002,TV families,state,Detail/server-list states,catalog data available,enter selected path,dynamic structure and Back edges recorded,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-049-011,P0,SURF-BOUNDARY-001;SURF-BOUNDARY-002,all applicable,boundary,Payment/session/QR boundary nodes,boundary reached,capture/local-only decode if needed; recover,no traversal; terminal boundary plus recovery edge,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-049-012,P0,SURF-START-001;SURF-CATALOG-001,all ready families,state,Loading/loader recurrence,loader appears,capture trigger and duration,not merged into ready node,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-049-013,P0,SURF-NET-001,all ready families,state,Offline/error/retry nodes,safe network state or natural error available,observe and recover,distinct from loading/empty/cache,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-049-014,P1,SURF-AUTH-004,auth applicable,state,Captcha/OTP/legal/guard recurrence,state safely reachable/naturally appears,capture without external mutation,distinct node and prior recurrence link,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-049-015,P0,SURF-FOCUS-001;SURF-FOCUS-002,TV/STB,focus,Focus ownership per node,screen nodes captured,record focused category and safe actions,no-focus/hidden-focus/no-op distinct,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-049-016,P0,SURF-USABILITY-001,all,evidence,Visual-only transient states,snackbar/toast/overlay visible,compare screenshot/tree,visual node/anomaly retained even absent XML,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-049-017,P0,SURF-NAV-003,TV/system,system,Ambient/system overlay nodes,overlay observed,wake/recover,system and app nodes not conflated,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-049-018,P0,SURF-ROUTE-001;SURF-ROUTE-002,applicable,routes,Safe route/deep-link entry nodes,approved routes exist,invoke encoded/missing variants,target/rejection/crash edge classified,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
