scenario_id,priority,surface_ids,lane,category,title,preconditions,steps,expected_oracle,negative_or_boundary,automation_target,evidence_required,safety_class,blocking_rule
QA-054-001,P0,SURF-PERF-001;SURF-START-001,reference TV,startup,Cold launch to actionable ready state,app force-stopped; environment recorded,repeat bounded cold launches,median/range plus failures; ready state not process-only,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-054-002,P0,SURF-PERF-001;SURF-START-002,reference TV,startup,Warm foreground readiness,stable background state,repeat Home/return,response distribution and anomalies,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-054-003,P1,SURF-PERF-001,Yandex/Sber,startup,Representative startup delta,lanes READY,bounded cold/warm samples,OS/flavor delta without universal threshold invention,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-054-004,P0,SURF-PERF-001;SURF-FOCUS-001,TV/STB,responsiveness,D-pad focus response,stable focusable screens,bounded repeated direction/select samples,visible response timing/category and no-op rate,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-054-005,P0,SURF-PERF-002,reference TV,cycles,Repeated launch/background/foreground,kill switch and iteration budget,execute bounded cycles,per-cycle state/crash/resource ledger,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-054-006,P0,SURF-PERF-002,paired,cycles,Repeated pair/disconnect/reconnect,paired fixture ready,execute bounded cycles,success/failure/cleanup trend,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-054-007,P0,SURF-PERF-002;SURF-NET-002,reference/paired,cycles,Repeated network reconnect,TASK-051 safe fault profile,bounded cycles,"backoff, duplicate effects and recovery trend",no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-054-008,P0,SURF-PERF-002,reference TV,soak,Navigation soak,approved non-payment graph and budget,cycle catalog/search/settings/detail/back,no drift/stuck focus/crash or explicit failure,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-054-009,P1,SURF-PERF-002,phone,soak,Phone virtual-gamepad UI soak without paid play,pair path and safe input boundary,bounded open/background/reconnect cycles,resource/UI state trend,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-054-010,P1,SURF-PERF-002,system lane,soak,Launcher HOME/app return cycles,FogPlay Stick READY,bounded launcher↔app cycles,focus/window/resource trend,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-054-011,P0,SURF-PERF-002,all selected,resource,Memory/process trend observation,standard Android tools available,sample before/during/after bounded cycles,trend with caveat; no leak claim without proof,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-054-012,P1,SURF-PERF-002,physical devices,thermal,Thermal/battery observation,device exposes safe metrics,sample during bounded run,contextual observation; no false performance conclusion,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-054-013,P0,SURF-PERF-001,all selected,stability,Crash signal capture,campaign running,monitor crash categories,local evidence + public-safe classification,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-054-014,P0,SURF-PERF-001,all selected,stability,ANR/frozen UI detection,bounded action timeout/oracle,detect visual/actionable stall,ANR/tooling/backend wait differentiated where possible,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-054-015,P0,SURF-PERF-002,all selected,negative,Intermittent recovery not clean pass,"one iteration fails, later passes",aggregate,failure retained and rate reported,yes,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-054-016,P0,SURF-PERF-002,all selected,safety,Budget/kill-switch enforcement,profile configured,exceed synthetic budget in validator,runner stops/fails closed,yes,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-054-017,P0,SURF-LOG-001,all selected,privacy,Performance artifacts redaction,run complete,generate summary,no raw package paths/device identities/account data,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-054-018,P0,SURF-RELEASE-001,all selected,closure,Stability qualification summary,profiles complete,validate,"metrics, environment, failures, blockers and residual risks reconcile",no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
