scenario_id,priority,surface_ids,lane,category,title,preconditions,steps,expected_oracle,negative_or_boundary,automation_target,evidence_required,safety_class,blocking_rule
QA-048-001,P0,SURF-LAUNCHER-001,FogPlay Stick,preflight,Actual compatible target mapping,project local alias exists,validate target/profile; do not infer from generic TV,READY or blocked_by_device,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-048-002,P0,SURF-LAUNCHER-001,FogPlay Stick,inventory,Launcher/system cluster inventory,target READY; local contour present,enumerate approved component aliases/packages local-only,cluster components classified separately from five APKs,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-048-003,P0,SURF-INSTALL-001,FogPlay Stick,intake,AOSP APK intake,aosp-full artifact present,verify/install/update via existing safe procedure,app available without modifying system image,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-048-004,P0,SURF-LAUNCHER-002,FogPlay Stick,boot,Cold boot/direct-boot observation,safe reboot approved,reboot; collect bounded boot timeline,launcher/setup/service states and readiness classified,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-048-005,P0,SURF-LAUNCHER-002,FogPlay Stick,home,HOME ownership and launcher foreground,device ready,press HOME from app/system states,expected launcher foreground/window/focus observed,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-048-006,P0,SURF-LAUNCHER-003;SURF-FOCUS-001,FogPlay Stick,focus,Launcher initial focus,launcher stable,inspect and move D-pad,single actionable focus or explicit anomaly,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-048-007,P0,SURF-LAUNCHER-003,FogPlay Stick,navigation,Launcher windows/sections traversal,launcher stable,traverse approved sections,state/window ledger with Back behavior,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-048-008,P0,SURF-LAUNCHER-003,FogPlay Stick,integration,Launch Fog Play from launcher,launcher target available,select app,aosp-full starts; return path captured,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-048-009,P0,SURF-NAV-002;SURF-LAUNCHER-003,FogPlay Stick,integration,Return from app to launcher,aosp-full stable,HOME/Back per contract,launcher state/focus restoration classified,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-048-010,P0,SURF-LAUNCHER-004;SURF-PERSIST-002,FogPlay Stick,lifecycle,Launcher process death/recovery,launcher stable,kill relevant user-space process only if approved; HOME,recovery or system blocker; no root action,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-048-011,P0,SURF-LAUNCHER-004,FogPlay Stick,setup,Setup wizard initial/safe states,setup route available without destructive reset,observe approved screens only,network/timezone/auth categories and boundaries recorded,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-048-012,P0,SURF-LAUNCHER-004,FogPlay Stick,negative,Setup Back/cancel/re-entry,safe setup state,Back/cancel; re-enter,state remains consistent; no factory reset,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-048-013,P1,SURF-IPC-001,FogPlay Stick,system,Observable service availability,cluster installed,observe public/system UI effects and package state,service status category; no private payload extraction,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-048-014,P1,SURF-IPC-002,FogPlay Stick,negative,Malformed/unauthorized safe component invocation,explicitly approved public-safe component contract exists,send minimal non-mutating malformed/empty input,safe rejection/no crash; otherwise blocked_by_boundary,yes,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-048-015,P1,SURF-LAUNCHER-004,FogPlay Stick,system,System overlay/ambient/wake,launcher/app stable,trigger or observe approved overlay; wake,focus/window restored or defect,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-048-016,P1,SURF-PERSIST-002,FogPlay Stick,lifecycle,Service/app restart sequence,approved user-space restart only,restart applicable package; relaunch,cluster visible state consistent,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-048-017,P0,SURF-LOG-001,FogPlay Stick,privacy,System lane log redaction,run complete,collect bounded local logs; summarize categories,no raw device/endpoint/account/privileged values,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-048-018,P0,SURF-PERF-001,FogPlay Stick,stability,Crash/ANR/system-app failure signals,flow complete,scan bounded signals,separate launcher/app/service categories,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-048-019,P0,SURF-RELEASE-001,FogPlay Stick,closure,System lane terminal ledger,all selected cases attempted or device absent,validate,device absence blocks lane only; no false pass,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
