scenario_id,priority,surface_ids,lane,category,title,preconditions,steps,expected_oracle,negative_or_boundary,automation_target,evidence_required,safety_class,blocking_rule
QA-051-001,P0,SURF-NET-001,reference TV,offline,Launch while offline,app stopped; network rollback ready,disable network; launch,offline/loading/error/cache state explicit; no hang false-pass,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-051-002,P0,SURF-NET-001,reference TV,offline,Go offline from catalog,catalog ready,disable network; navigate safe refresh/search,visible behavior and retry affordance captured,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-051-003,P0,SURF-NET-001,reference TV,recovery,Restore network after offline,offline state captured,restore network,reconnect/refresh timing and state explicit,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-051-004,P0,SURF-NET-003,reference TV,cache,Cached content while offline,content previously loaded,disable network; revisit,cached/stale marker or error distinguished,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-051-005,P0,SURF-NET-001,auth lane,network,Connectivity loss during auth,synthetic auth state and safe method,disable/restore network around submit,error/retry/no duplicate submit behavior,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-051-006,P0,SURF-NET-001,search lane,network,Connectivity loss during search,search ready,disable network before/after query,loading/error/retry and keyboard recovery,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-051-007,P0,SURF-NET-001,detail/server lane,network,Loss during detail/server retrieval,safe pre-boundary flow,disable network during fetch,no crash; stale/error/retry state,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-051-008,P0,SURF-NET-002;SURF-PROTO-001;SURF-STREAM-002,reference TV,reconnect,Single network flap after post-auth,stable connected state,bounded disable/restore,one reconnect cycle; no duplicate visible effect,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-051-009,P0,SURF-NET-002;SURF-PROTO-001;SURF-STREAM-002,reference TV,reconnect,Three bounded flaps,cleanup/kill switch ready,repeat controlled flaps,per-cycle events; backoff/retry bounded; no accumulation,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-051-010,P0,SURF-PROTO-002,reference TV,negative,Duplicate visible event detection,reconnect cycle complete,compare notifications/state transitions,duplicates explicitly absent/present; not inferred,yes,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-051-011,P0,SURF-PROTO-001,reference TV,negative,Missing/stale response symptom,naturally reachable or synthetic QA harness outside app only,observe UI timeout/stale state,no private payload injection; blocked if no safe oracle,yes,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-051-012,P0,SURF-NET-002;SURF-PAIR-002;SURF-STREAM-002,paired,network,"Phone offline, TV online",pair connected,disable phone network; restore,asymmetric state and cleanup,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-051-013,P0,SURF-NET-002;SURF-PAIR-002;SURF-STREAM-002,paired,network,"TV offline, phone online",pair connected,disable TV network; restore,stale TV target/phone state and reconnect,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-051-014,P1,SURF-NET-002;SURF-PAIR-002;SURF-STREAM-002,paired,network,Both sides offline then ordered restore,pair connected,disable both; restore one then other,race/duplicate/cleanup ledger,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-051-015,P1,SURF-NET-001,Yandex/Sber,compatibility,Representative flavor offline smoke,lane ready,single reversible offline/reconnect,flavor delta captured,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-051-016,P1,SURF-NET-001;SURF-LAUNCHER-004,FogPlay Stick,system,Launcher/system network loss,system lane ready,disable/restore network at safe setup/app state,launcher/setup/app behaviors separated,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-051-017,P0,SURF-LOG-001,all,privacy,Transport logging redaction,fault run complete,local log analysis; public category summary,no endpoints/headers/payloads/tokens,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-051-018,P0,SURF-PERF-002,all,resource,Reconnect resource trend,multiple bounded cycles,observe process/thread/network category trends,no leak claim without evidence; anomalies retained,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-051-019,P0,SURF-RELEASE-001,all,negative,Offline and backend-like error not conflated,two distinguishable observations exist,aggregate,separate cause/status categories,yes,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-051-020,P0,SURF-RELEASE-001,all,closure,Fault campaign ledger,all selected profiles attempted,validate,"fault, first failure, recovery, cleanup and evidence complete",no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
