scenario_id,priority,surface_ids,lane,category,title,preconditions,steps,expected_oracle,negative_or_boundary,automation_target,evidence_required,safety_class,blocking_rule
QA-053-001,P0,SURF-COMPAT-001,tv-tpv-005,equivalence,Philips old selected regression,TPV13 baseline fresh; device READY,run risk-selected shared cases,deltas/pass/blockers explicit,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-053-002,P0,SURF-COMPAT-001,tv-tpv-005 vs tv-tpv-013,equivalence,Philips old/new comparison,both results available,compare startup/focus/search/settings/detail/lifecycle,equivalence scope evidence-backed,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-053-003,P0,SURF-COMPAT-001,tv-salutetv-011,equivalence,SberTV selected regression,SberBox baseline fresh,run risk-selected cases,TV vs STB deltas explicit,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-053-004,P0,SURF-COMPAT-001,tv-salutetv-011 vs stb-sberdevices-009,equivalence,SberTV/SberBox comparison,both results available,compare display/input/system/flavor behavior,no same-APK equivalence assumption,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-053-005,P0,SURF-COMPAT-002,phone-huawei-006 API29,boundary,Lower phone OS selected regression,device READY,run phone startup/auth/pair/gamepad/lifecycle subset,API29 issues explicit,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-053-006,P0,SURF-COMPAT-002,phone-realme-001 API36,boundary,Upper phone OS selected regression,device READY,run same selected subset,API36 issues explicit,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-053-007,P1,SURF-COMPAT-002,phone-infinix-008 API34,OEM,Additional phone OEM delta,device READY,run targeted selector,OEM/API delta,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-053-008,P1,SURF-COMPAT-002,phone-samsung-002 API33,fallback/equivalence,Primary phone fallback comparison,Xiaomi and Samsung available or fallback used,compare paired/lifecycle subset,fallback suitability explicit,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-053-009,P0,SURF-COMPAT-001;SURF-USABILITY-001,FHD vs 4K TV,display,FHD/4K layout and focus visibility,representative devices READY,capture selected screens,truncation/scaling/focus visibility deltas,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-053-010,P1,SURF-COMPAT-001,phone,display,Orientation behavior,phone screen supports orientation or is locked,rotate within safe states,supported/locked/layout behavior explicit,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-053-011,P0,SURF-LOC-001,TV/phone representative,localization,Supported locale smoke,locales approved in project,switch locale; run selected screens; reset,text/focus/layout and fallback explicit,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-053-012,P0,SURF-USABILITY-001,TV/phone representative,usability,Font scale/text truncation,safe system setting change; reset plan,test approved scale values,critical labels/actions remain usable or defect,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-053-013,P1,SURF-USABILITY-001,TV/STB,usability,Overscan/safe-area/basic visibility,display settings stable,inspect edge content and dialogs,critical controls not clipped or evidence recorded,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-053-014,P1,SURF-COMPAT-002,all,permissions,Runtime/system permission UI delta,permission state reachable,observe safe request/denial/return,OEM/OS behavior captured; no privileged grant,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-053-015,P0,SURF-COMPAT-001,tv-himedia-010,negative,Unmapped Himedia remains unknown,no approved mapping,run selector only,no APK install/compatibility claim,yes,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-053-016,P0,SURF-RELEASE-001,all,negative,Representative pass not all-device pass,only representative evidence exists,evaluate matrix,equivalence gaps remain until selected delta runs,yes,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-053-017,P0,SURF-LOG-001,all,privacy,Compatibility evidence redaction,matrix complete,generate public summary,no raw device serial/IP/local paths,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-053-018,P0,SURF-RELEASE-001,all,closure,Compatibility matrix terminal statuses,selected devices assessed,validate,each required boundary/equivalence row terminally classified,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
