scenario_id,priority,surface_ids,lane,category,title,preconditions,steps,expected_oracle,negative_or_boundary,automation_target,evidence_required,safety_class,blocking_rule
QA-042-001,P0,SURF-INSTALL-001,local bundle,apk_inventory,Exact five expected APK entries,canonical task-005 APK folder exists,enumerate only expected bundle contract,all five classified; no global search,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-042-002,P0,SURF-INSTALL-001,local bundle,negative,Missing expected APK,synthetic/mocked inventory or actual absence,run inventory validator,missing entry => blocked lane/non-zero summary,yes,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-042-003,P0,SURF-INSTALL-001,local bundle,negative,Unexpected sixth file does not become main bundle member,extra APK exists in fixture,run bundle validator,extra classified separately; five-APK contract unchanged,yes,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-042-004,P0,SURF-INSTALL-001;SURF-RELEASE-001,local bundle,metadata,Local-only APK metadata capture,SDK tools available,read package/version/size/hash/signature metadata,raw values local-only; public aliases/status only,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-042-005,P0,SURF-LAUNCHER-001,launcher contour,inventory,Launcher contour discovery from project contract,actual checkout local structure,read established path/aliases,separate contour status; no move/rename,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-042-006,P1,SURF-LAUNCHER-001,launcher contour,negative,Launcher component absent,one expected local component missing,classify contour,blocked_by_fixture for affected system scenario; main bundle unaffected,yes,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-042-007,P0,SURF-START-001,local tools,tools,ADB availability via configured SDK path,local paths policy,invoke configured adb version,READY or precise tooling status; PATH absence alone not failure,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-042-008,P0,SURF-START-001,local tools,tools,Emulator/AVD inventory,configured SDK,list AVDs,machine-readable aliases/status; no absolute paths in public output,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-042-009,P1,SURF-START-001,AVD,sandbox,Optional AVD install/launch helper smoke,compatible existing AVD and suitable APK,install/launch/force-stop/clear data on AVD,tooling pipeline proven; explicitly not product compatibility,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-042-010,P0,SURF-COMPAT-001,devices,inventory,ADB device alias status refresh,project-known local aliases,adb devices and local mapping,READY/OFFLINE/UNAUTHORIZED/MISSING/INCOMPATIBLE/UNKNOWN,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-042-011,P0,SURF-COMPAT-001,tv-tpv-013,selection,Reference TV readiness,device alias present,check authorization/profile only,selected for TASK-044 or precise local blocker,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-042-012,P0,SURF-PAIR-001,phone-xiaomi-007,selection,Primary paired phone readiness,device alias present,check authorization/profile only,selected for TASK-045 or Samsung fallback selected,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-042-013,P0,SURF-COMPAT-001,tv-yandex-012,selection,Yandex lane readiness,device alias present,check authorization/profile only,TASK-046 ready or lane blocker,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-042-014,P0,SURF-COMPAT-001,stb-sberdevices-009,selection,Sber lane readiness,device alias present,check authorization/profile only,TASK-047 ready or lane blocker,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-042-015,P0,SURF-LAUNCHER-001,actual FogPlay Stick alias,selection,AOSP/launcher target readiness,local project mapping exists,validate actual target mapping,ready or blocked_by_device; no generic substitution,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-042-016,P1,SURF-COMPAT-001,tv-himedia-010,negative,Unmapped device not guessed,Himedia alias present without approved mapping,run selector,UNKNOWN/manual mapping required,yes,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-042-017,P0,SURF-LOG-001,all,evidence,No raw identity leakage,preflight completed,run public-safe scan on generated summary,no serial/IP/hash/absolute path/raw APK metadata committed,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-042-018,P0,SURF-RELEASE-002,all,handoff,Readiness matrix drives only local next task,preflight statuses exist,select next lane,TASK-043 always proceeds; runtime lane blockers scoped locally,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
