scenario_id,priority,surface_ids,lane,category,title,preconditions,steps,expected_oracle,negative_or_boundary,automation_target,evidence_required,safety_class,blocking_rule
QA-044-001,P0,SURF-INSTALL-001,tv-tpv-013,intake,Reference APK presence and package intake,TASK-042 lane READY,verify selected local alias; install/update using existing safe procedure,expected package launches; metadata/evidence recorded local-only,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-002,P0,SURF-START-001,tv-tpv-013,startup,Cold launch from force-stopped state,synthetic fixture ready,force-stop; launch via approved entry,first stable actionable state reached or loader timeout classified,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-003,P0,SURF-START-002,tv-tpv-013,startup,Warm foreground launch,app backgrounded at stable catalog,foreground app,state and focus restoration match explicit oracle,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-004,P0,SURF-START-001;SURF-CATALOG-001,tv-tpv-013,negative,Loader is not catalog success,launch shows loader/non-actionable shell,wait bounded 120s; capture checkpoints,no false PASS; loader timeout/anomaly classified,yes,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-005,P0,SURF-AUTH-001,tv-tpv-013,auth,Existing synthetic session enters post-auth shell,fixture valid,launch and observe auth guard,post-auth state confirmed visually and structurally,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-006,P0,SURF-AUTH-002;SURF-PERSIST-001,tv-tpv-013,session,Session survives Home/foreground,post-auth catalog stable,Home; wait bounded; foreground,same account/session category and actionable shell restored,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-007,P0,SURF-AUTH-002;SURF-PERSIST-001,tv-tpv-013,session,Session survives force-stop/relaunch,post-auth state,force-stop; relaunch,session outcome explicitly observed; no login assumption,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-008,P0,SURF-CATALOG-001,tv-tpv-013,catalog,Actionable catalog oracle,post-auth shell visible,probe focusable catalog/rail/grid,ready only when actionable content/focus exists,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-009,P0,SURF-CATALOG-002,tv-tpv-013,catalog,Dynamic rail traversal,catalog ready,D-pad through visible rails with bounded sampling,focus movement and category boundaries recorded; titles/counts not fixed,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-010,P0,SURF-FOCUS-001,tv-tpv-013,focus,Grid focus acquisition,catalog has grid,enter grid; move directions,visual focus change and target category recorded,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
