scenario_id,priority,surface_ids,lane,category,title,preconditions,steps,expected_oracle,negative_or_boundary,automation_target,evidence_required,safety_class,blocking_rule
QA-046-001,P0,SURF-INSTALL-001,tv-yandex-012 / television-steam / API28,intake,YandexTV APK install/intake,lane READY,verify selected alias and install/update safely,package launches; metadata local-only,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-046-002,P0,SURF-START-001,tv-yandex-012 / television-steam / API28,startup,Cold launch to actionable state,app force-stopped,launch and wait bounded,actionable auth/catalog state or explicit timeout,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-046-003,P0,SURF-AUTH-001,tv-yandex-012 / television-steam / API28,auth,Auth/session guard,synthetic fixture available,observe startup/auth route,expected category and session state confirmed,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-046-004,P0,SURF-CATALOG-001,tv-yandex-012 / television-steam / API28,catalog,Catalog/rail readiness,post-auth,acquire focus and traverse sample,actionable focus/content structure observed,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-046-005,P0,SURF-SEARCH-001,tv-yandex-012 / television-steam / API28,search,Search and system keyboard,catalog ready,open search and input safe query,search state and keyboard behavior captured,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-046-006,P0,SURF-SEARCH-002,tv-yandex-012 / television-steam / API28,negative,Back/Escape keyboard recovery,keyboard open,Back/Escape,recovery or flavor-specific defect,yes,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-046-007,P0,SURF-SETTINGS-001;SURF-SETTINGS-002,tv-yandex-012 / television-steam / API28,settings,Settings and Gamepad path,catalog ready,navigate semantically,correct destination or precise anomaly; no logout mutation,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-046-008,P0,SURF-DETAIL-001;SURF-DETAIL-002,tv-yandex-012 / television-steam / API28,detail,Game detail to server-list boundary,grid focus,select card; enter server selection,screen structure observed to safe boundary,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-046-009,P0,SURF-BOUNDARY-001,tv-yandex-012 / television-steam / API28,boundary,No payment/session crossing,boundary visible,capture and recover,safe stop and Back/cancel,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-046-010,P0,SURF-NAV-001;SURF-NAV-002,tv-yandex-012 / television-steam / API28,navigation,Back/Home/foreground,multiple stable screens,exercise Back and Home/return,routes/session/focus classified,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-046-011,P0,SURF-PERSIST-002,tv-yandex-012 / television-steam / API28,lifecycle,Force-stop/relaunch,post-auth stable,force-stop; relaunch,session and actionable state classified,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-046-012,P0,SURF-FOCUS-001;SURF-FOCUS-002,tv-yandex-012 / television-steam / API28,focus,D-pad focus/no-op oracle,rail/grid/settings,bounded D-pad actions,visual focus change/no-op/tooling separated,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-046-013,P1,SURF-COMPAT-002,tv-yandex-012 / television-steam / Android 9 API 28,flavor,YandexTV observable flavor boundary,safe vendor-specific surface reachable,observe without external mutation,behavior classified; no vendor account action,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-046-014,P0,SURF-COMPAT-001,tv-yandex-012 / television-steam / API28,delta,Delta against TPV13 reference,TASK-044 baseline exists,compare selected oracles,shared pass not assumed; deltas explicit,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-046-015,P1,SURF-USABILITY-001,tv-yandex-012 / television-steam / API28,display,Display/text/system UI check,lane stable,inspect FHD/keyboard/system overlays,truncation/visibility/system differences recorded,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-046-016,P0,SURF-PERF-001;SURF-LOG-001,tv-yandex-012 / television-steam / API28,stability,Crash/ANR/log redaction,run complete,collect bounded signals,category summary; no raw leakage,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-046-017,P0,SURF-RELEASE-001,tv-yandex-012 / television-steam / API28,closure,Representative terminal ledger,all P0 cases attempted,validate report,all rows classified; no reference evidence substitution,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
